connection_id,user_id,country,country_name,city,timezone,device,internet_speed_mbps,connected_at,related_country
C00001,U1272,ES,Spain,Madrid,Europe/Madrid,mobile,35.7,2026-01-05T00:57:49.224Z,IT
C00002,U1041,IN,India,Mumbai,Asia/Kolkata,mobile,59.9,2026-04-03T01:17:33.830Z,JP
C00003,U1770,FR,France,Paris,Europe/Paris,desktop,101,2026-04-16T13:28:23.816Z,DE
C00004,U1562,AU,Australia,Sydney,Australia/Sydney,desktop,70.8,2026-03-05T10:05:38.874Z,IN
C00005,U1358,PL,Poland,Warsaw,Europe/Warsaw,desktop,77.7,2026-04-01T04:32:07.485Z,KR
C00006,U1614,US,United States,New York,America/New_York,mobile,58.3,2026-03-26T21:39:02.184Z,CA
C00007,U1787,GB,United Kingdom,London,Europe/London,desktop,76.9,2026-01-27T22:40:38.101Z,ES
C00008,U1406,BR,Brazil,São Paulo,America/Sao_Paulo,desktop,100.2,2026-04-25T12:15:52.850Z,US
C00009,U1428,BR,Brazil,São Paulo,America/Sao_Paulo,desktop,92.6,2026-02-18T11:44:23.847Z,US
C00010,U1690,US,United States,New York,America/New_York,desktop,95.2,2026-02-03T11:18:20.771Z,BR
C00011,U1565,SE,Sweden,Stockholm,Europe/Stockholm,desktop,99.8,2026-01-13T07:40:13.968Z,MX
C00012,U1224,ZA,South Africa,Cape Town,Africa/Johannesburg,desktop,68.8,2026-01-01T10:38:36.564Z,ZA
C00013,U1266,IN,India,Mumbai,Asia/Kolkata,tablet,43.8,2026-03-20T18:36:16.667Z,KR
C00014,U1225,JP,Japan,Tokyo,Asia/Tokyo,desktop,91.6,2026-03-26T20:22:27.206Z,KR
C00015,U1471,NL,Netherlands,Amsterdam,Europe/Amsterdam,mobile,74.5,2026-02-24T00:55:01.119Z,FR
C00016,U1377,ZA,South Africa,Cape Town,Africa/Johannesburg,desktop,69.4,2026-03-25T05:53:30.873Z,ZA
C00017,U1550,IN,India,Mumbai,Asia/Kolkata,mobile,40.9,2026-02-12T14:04:44.322Z,KR
C00018,U1363,US,United States,New York,America/New_York,desktop,84.1,2026-01-06T17:45:13.885Z,MX
C00019,U1291,JP,Japan,Tokyo,Asia/Tokyo,desktop,109.1,2026-04-15T03:30:12.213Z,AU
C00020,U1514,DE,Germany,Berlin,Europe/Berlin,desktop,111.9,2026-01-19T18:32:20.238Z,IT
C00021,U1255,GB,United Kingdom,London,Europe/London,desktop,100.7,2026-04-08T10:41:34.036Z,PL
C00022,U1453,US,United States,New York,America/New_York,desktop,85.5,2026-01-31T20:42:41.649Z,CA
C00023,U1216,KR,South Korea,Seoul,Asia/Seoul,desktop,111.2,2026-04-05T11:48:21.384Z,IN
C00024,U1693,FR,France,Paris,Europe/Paris,mobile,39.5,2026-01-09T23:41:13.613Z,NL
C00025,U1501,IT,Italy,Rome,Europe/Rome,desktop,78.4,2026-01-06T01:17:02.397Z,DE
C00026,U1032,GB,United Kingdom,London,Europe/London,mobile,64.7,2026-02-15T19:41:16.414Z,ES
C00027,U1622,FR,France,Paris,Europe/Paris,desktop,89.2,2026-01-12T02:14:00.463Z,SE
C00028,U1786,FR,France,Paris,Europe/Paris,desktop,72.3,2026-03-19T11:21:20.006Z,JP
C00029,U1552,CA,Canada,Toronto,America/Toronto,desktop,69.6,2026-03-09T13:39:52.602Z,BR
C00030,U1103,KR,South Korea,Seoul,Asia/Seoul,desktop,91.8,2026-02-01T01:04:01.001Z,SG
C00031,U1652,IN,India,Mumbai,Asia/Kolkata,desktop,101.6,2026-03-08T05:55:41.831Z,AU
C00032,U1197,IN,India,Mumbai,Asia/Kolkata,tablet,61.5,2026-01-30T05:51:18.728Z,AU
C00033,U1396,IN,India,Mumbai,Asia/Kolkata,desktop,66.3,2026-02-14T16:53:47.957Z,JP
C00034,U1644,BR,Brazil,São Paulo,America/Sao_Paulo,mobile,54.8,2026-01-22T02:49:22.218Z,CA
C00035,U1665,ES,Spain,Madrid,Europe/Madrid,tablet,68.9,2026-04-08T08:47:36.127Z,GB
C00036,U1299,FR,France,Paris,Europe/Paris,mobile,45.3,2026-02-07T22:25:41.356Z,IT
C00037,U1358,US,United States,New York,America/New_York,desktop,86.3,2026-04-26T23:05:20.308Z,CA
C00038,U1146,IN,India,Mumbai,Asia/Kolkata,mobile,37.4,2026-03-13T22:52:37.180Z,MX
C00039,U1089,CA,Canada,Toronto,America/Toronto,desktop,99.5,2026-02-06T15:41:41.578Z,ES
C00040,U1094,US,United States,New York,America/New_York,desktop,96.7,2026-03-10T00:00:52.294Z,ZA
C00041,U1215,CA,Canada,Toronto,America/Toronto,mobile,49.4,2026-03-08T07:39:17.184Z,BR
C00042,U1776,IN,India,Mumbai,Asia/Kolkata,mobile,49.7,2026-03-01T01:25:18.024Z,ZA
C00043,U1763,GB,United Kingdom,London,Europe/London,mobile,30.5,2026-02-18T18:24:25.444Z,DE
C00044,U1509,IN,India,Mumbai,Asia/Kolkata,desktop,85.7,2026-04-11T17:48:08.208Z,JP
C00045,U1175,US,United States,New York,America/New_York,mobile,48.3,2026-01-19T09:07:29.260Z,CA
C00046,U1326,IT,Italy,Rome,Europe/Rome,desktop,86.4,2026-02-17T14:56:21.208Z,NL
C00047,U1676,GB,United Kingdom,London,Europe/London,desktop,81.7,2026-03-25T02:50:20.784Z,ES
C00048,U1345,FR,France,Paris,Europe/Paris,mobile,42.5,2026-04-04T03:38:06.003Z,DE
C00049,U1165,BR,Brazil,São Paulo,America/Sao_Paulo,desktop,97.7,2026-03-31T22:20:22.296Z,US
C00050,U1387,US,United States,New York,America/New_York,mobile,49.9,2026-03-21T14:07:17.911Z,AU
C00051,U1785,MX,Mexico,Mexico City,America/Mexico_City,desktop,88.2,2026-04-23T05:40:39.084Z,US
C00052,U1079,US,United States,New York,America/New_York,desktop,78.5,2026-04-12T07:41:56.547Z,CA
C00053,U1451,IN,India,Mumbai,Asia/Kolkata,desktop,71.8,2026-01-14T03:33:05.522Z,JP
C00054,U1150,IN,India,Mumbai,Asia/Kolkata,tablet,68.3,2026-01-30T19:31:38.726Z,AU
C00055,U1702,MX,Mexico,Mexico City,America/Mexico_City,mobile,27.1,2026-02-12T02:11:04.232Z,CA
C00056,U1034,MX,Mexico,Mexico City,America/Mexico_City,mobile,34.7,2026-03-11T21:36:25.029Z,US
C00057,U1112,US,United States,New York,America/New_York,mobile,29.6,2026-04-24T23:32:30.836Z,CA
C00058,U1661,BR,Brazil,São Paulo,America/Sao_Paulo,mobile,49.9,2026-03-03T18:20:51.698Z,MX
